"","MaxLength_Large","MaxLength_Medium","MaxLength_Small","MaxLength_V.Small","PLD_Long","PLD_Medium","PLD_Short","PLD_V.Long","Trophic_Corrallivore","Trophic_Detritivore","Trophic_Herbivore","Trophic_Omnivore","Trophic_Piscivore","Trophic_Planktivore","Trophic_Predator","Position_Benthic","Position_CnidarianAssociated","Position_Demersal","Position_Pelagic","Position_ReefPelagic","Position_SandAssociated","Position_SubBenthic","Position_UpperBenthic","ParentalMode_brooders","ParentalMode_demersal","ParentalMode_Live.bearers","ParentalMode_Nesters","ParentalMode_scatterers","Cluster"
"JP1_T1",0,0.232324895378714,0.709396805650987,0.0582782989702991,0,0.439741375057406,0.560258624942594,0,0.0035090515470311,0.0651848464624296,0.511605552641714,0.109267883859351,0.0354670366862921,0.0951029876042003,0.179862641198983,0.18974077191166,0.010047922403492,0,0,0,0,0,0.800211305684848,0,0,0,0.129595265547185,0.832860736037801,"Tropical"
"JP1_T2",0.0407767303288074,0.0447495713325415,0.89685824930361,0.0176154490350411,0,0.127346027803977,0.872653972196023,0,0,0.0273601617897343,0.0689914743748323,0.0185393730771753,0,0.0711813617380083,0.81392762902025,0.114572511246635,0.00269277978035023,0,0,0,0,0.00164488647453852,0.881089822498476,0,0,0,0.0832840139182268,0.916715986081773,"Tropical"
"JP1_T3",0.492630827039097,0,0.482133917751531,0.0252352552093727,0,0.616923886223384,0.383076113776616,0,0.00748995014292675,0.0366677467154847,0.290955096844284,0.0419491363426824,0.492630827039097,0.00859442587771101,0.121712817037815,0.112214106311593,0.00796990522831669,0,0.492630827039097,0,0,0,0.387185161420993,0,0,0,0.071841125181087,0.928158874818913,"Tropical"
"JP1_T4",0,0.82005584925833,0.127464165773087,0.0524799849685838,0,0.0436514880136641,0.956348511986336,0,0.00363286380028747,0.0175449691713084,0.691647574440394,0.0155429640286943,0,0.0708051389267676,0.200826489632548,0.0411480612854687,0.00849898568918529,0,0,0,0,0,0.950352953025346,0,0,0,0.0879150590576366,0.912084940942363,"Tropical"
"JP1_T5",0,0.252723837478245,0.67328423878018,0.0739919237415749,0,0.249831975685503,0.748790904436112,0,0.00555329245674835,0.109491346572614,0.316346077451833,0.0970802773570738,0,0.158953995983821,0.312575010177909,0.379453055345261,0.0591798878575319,0,0,0,0,0.00341236452412943,0.557954692273078,0,0,0,0.197671047049395,0.802328952950605,"Tropical"
"JP2_T3",0,0.0151244050108152,0.955628172351728,0.0292474226374564,0,0.570780082374217,0.429219917625783,0,0.0351466418788848,0.332823467875041,0.576227607661879,0.0118080633944085,0,0.0163803520752696,0.0276138671145177,0.343876240271827,0.0363402843977733,0,0,0,0,0,0.6197834753304,0,0,0,0.0474987790177513,0.952501220982249,"Tropical"
"JP2_T4",0,0.313932617388803,0.639583951607025,0.0464834310041718,0,0.230481446186541,0.769518553813459,0,0.0303905759031676,0.198511454613507,0.438179903237342,0.0269851991734074,0,0.0260002581565921,0.279932608915984,0.355763125353459,0.0277417282244539,0,0,0,0,0,0.616495146422087,0,0,0,0.0765076113792894,0.92349238862071,"Tropical"
"JP2_T5",0,0,0.893956004352195,0.106043995647805,0,0.674399796278381,0.325600203721619,0,0.00638719892141806,0.400134446042193,0.48649878594065,0.0655745574022586,0,0.0404694382455465,0.000935573447934256,0.458720653212226,0.0199976103319562,0,0,0,0,0,0.521281736455818,0,0,0,0.104158107242743,0.895841892757257,"Tropical"
"JP2_T1",0.244978262347708,0.146175995574911,0.562912784203654,0.045932957873726,0,0.520077186438186,0.456955818490314,0.0229669950714993,0.0181900491466499,0.144124375876767,0.328070437824057,0.0367249862247071,0.244978262347708,0.0696610274470376,0.158250861133073,0.339168831515376,0.0146467967892501,0,0.244978262347708,0,0,0,0.401206109347666,0,0,0,0.109520147369092,0.890479852630908,"Tropical"
"JP2_T2",0,0.279939740649957,0.678508763669153,0.04155149568089,0,0.299670850557792,0.700329149442208,0,0.0110077149667865,0.175051747606454,0.410559178392473,0.0584134825337062,0,0.00134669553962508,0.343621180960956,0.252947048011442,0.00284406874711258,0,0,0,0,0,0.744208883241445,0,0,0,0.043029117451693,0.956970882548307,"Tropical"
