"","feeding_grazer","feeding_mining","feeding_predator","feeding_suspension","motility_facultative","motility_fast","motility_nonmotile","motility_slow","size_gigantic","size_large","size_medium","size_small","size_tiny","size_very_large","tiering_simple_epifaunal","tiering_simple_infaunal","tiering_simple_pelagic"
"Acrocoelites_inaequstriatus",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Acrocoelites_subtenuis",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Acrocoelites_subtricissus",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Acrocoelites_trisulculosus",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Bositra_buchii",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Bositra_radiata",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Camptonectes_auritus",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Cleviceras_elegans",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Cleviceras_exaratum",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Dacryomya_ovum",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Dactylioceras_commune",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Dactylioceras_sp",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Discinisca_infraoolithica",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Eleganticeras_elegantulum",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Grazer_indet_1",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"Harpoceras_falcilferum",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Hildaites_murleyi",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Leptolepsis_saltivicensis",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Lingula_beani",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"Liostrea_sp",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"Lytoceras_crenatum",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"Meleagrinella_substriata",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Nodicoeloceras_incrassatum",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Ovaticeras_ovatum",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"Oxytoma_inequivalve",0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"Parapassaloteuthis_polita",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Passaloteuthis_bisulcata",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Pentacrinites_dichotomus",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Pentacrinites_sp",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Phylloceras_heterophyllum",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Planolites_sp",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Procerithium_sp",1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Pseudomytiloides_dubius",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Serpula_sp",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"Simpsonibelus_dorsalis",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Tiltoniceras_antiquum",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Youngibelus_tubularis",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
