"ML_Large","ML_Medium","ML_Small","ML_V.Small","PLD_Long","PLD_Medium","PLD_Short","PLD_V.Long","T_Corrallivore","T_Detritivore","T_Herbivore","T_Omnivore","T_Piscivore","T_Planktivore","T_Predator","P_Benthic","P_AnthozoanA","P_Demersal","P_Pelagic","P_ReefPelagic","P_SandA","P_SubBenthic","P_UpperBenthic","R_Brooders","R_Demersal","R_livebearers","R_Nesters","R_Scatterers"
NA,0,0,0,NA,0,0,0,0,0,0,0,0.977905879069947,0,0,0,0,NA,0.974244813466455,NA,NA,0,0,NA,NA,NA,0,0
0,NA,-0.815470634403755,0,NA,-0.667003594844051,0.66521742398595,0,0,-0.45184624093974,0.560161947985881,0,0,0,0,0,0,NA,0,NA,NA,0,0.564753980753991,NA,NA,NA,0,0
0,-0.815470634403755,NA,0,NA,0,0,0,0,0.574865959301738,-0.475070884904673,0,0,0,0,0.539654804521468,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0
0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-0.667003594844051,0,0,NA,NA,-0.999632407238054,0,0,0.668219353134772,0,0,0,0,-0.493134564007279,0.568540135367146,0,NA,0,NA,NA,0,-0.729645646513512,NA,NA,NA,0,0
0,0.66521742398595,0,0,NA,-0.999632407238054,NA,0,0,-0.662780203061824,0,0,0,0,0.493031718468645,-0.566414694456496,0,NA,0,NA,NA,0,0.732614310130915,NA,NA,NA,0,0
0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0
0,0,0,0,NA,0,0,0,NA,0.675645447759129,0,0,0,0,0,0.687974837566319,0.593006805029685,NA,0,NA,NA,0,-0.629712197189301,NA,NA,NA,0,0
0,-0.45184624093974,0.574865959301738,0,NA,0.668219353134772,-0.662780203061824,0,0.675645447759129,NA,0,0,0,0,0,0.923350073596908,0.592939772670561,NA,0,NA,NA,0,-0.751780403376997,NA,NA,NA,0,0
0,0.560161947985881,-0.475070884904673,0,NA,0,0,0,0,0,NA,0,0,0,0,-0.453261656642269,0,NA,0,NA,NA,0,0.512766141065616,NA,NA,NA,0,0
0,0,0,0,NA,0,0,0,0,0,0,NA,0,0.675084513094661,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0.728372150171954,-0.758853596680947
0.977905879069947,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0.982486218243818,NA,NA,0,0,NA,NA,NA,0,0
0,0,0,0,NA,0,0,0,0,0,0,0.675084513094661,0,NA,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0.96143305911802,-0.956146454557471
0,0,0,0,NA,-0.493134564007279,0.493031718468645,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,0
0,0,0.539654804521468,0,NA,0.568540135367146,-0.566414694456496,0,0.687974837566319,0.923350073596908,-0.453261656642269,0,0,0,0,NA,0.671131630464433,NA,0,NA,NA,0,-0.830698242149875,NA,NA,NA,0,0
0,0,0,0,NA,0,0,0,0.593006805029685,0.592939772670561,0,0,0,0,0,0.671131630464433,NA,NA,0,NA,NA,0,-0.608395369059416,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.974244813466455,0,0,0,NA,0,0,0,0,0,0,0,0.982486218243818,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,0
0,0.564753980753991,0,0,NA,-0.729645646513512,0.732614310130915,0,-0.629712197189301,-0.751780403376997,0.512766141065616,0,0,0,0,-0.830698242149875,-0.608395369059416,NA,0,NA,NA,0,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,0,0,0,0,0,0,0.728372150171954,0,0.96143305911802,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,-0.994575115223218
0,0,0,0,NA,0,0,0,0,0,0,-0.758853596680947,0,-0.956146454557471,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,-0.994575115223218,NA
